month,edit_count
2006-08-01,11
2006-09-01,474
2006-10-01,1028
2006-11-01,404
2006-12-01,381
2007-01-01,598
2007-02-01,458
2007-03-01,559
2007-04-01,931
2007-05-01,857
2007-06-01,423
2007-07-01,801
2007-08-01,978
2007-09-01,1319
2007-10-01,925
2007-11-01,888
2007-12-01,576
2008-01-01,319
2008-02-01,1048
2008-03-01,1447
2008-04-01,1165
2008-05-01,1088
2008-06-01,681
2008-07-01,918
2008-08-01,950
2008-09-01,346
2008-10-01,838
2008-11-01,713
2008-12-01,880
2009-01-01,1268
2009-02-01,1435
2009-03-01,1901
2009-04-01,1164
2009-05-01,1095
2009-06-01,630
2009-07-01,939
2009-08-01,602
2009-09-01,728
2009-10-01,782
2009-11-01,716
2009-12-01,1060
2010-01-01,1080
2010-02-01,870
2010-03-01,1026
2010-04-01,871
2010-05-01,694
2010-06-01,497
2010-07-01,849
2010-08-01,976
2010-09-01,816
2010-10-01,553
2010-11-01,403
2010-12-01,436
2011-01-01,1281
2011-02-01,880
2011-03-01,946
2011-04-01,983
2011-05-01,782
2011-06-01,653
2011-07-01,721
2011-08-01,602
2011-09-01,638
2011-10-01,771
2011-11-01,825
2011-12-01,686
2012-01-01,447
2012-02-01,701
2012-03-01,998
2012-04-01,802
2012-05-01,508
2012-06-01,321
2012-07-01,555
2012-08-01,1517
2012-09-01,1271
2012-10-01,594
2012-11-01,835
2012-12-01,588
2013-01-01,1159
2013-02-01,943
2013-03-01,891
2013-04-01,703
2013-05-01,677
2013-06-01,478
2013-07-01,918
2013-08-01,513
2013-09-01,698
2013-10-01,1309
2013-11-01,1426
2013-12-01,1238
2014-01-01,825
2014-02-01,371
2014-03-01,623
2014-04-01,763
2014-05-01,961
2014-06-01,1009
2014-07-01,775
2014-08-01,617
2014-09-01,556
2014-10-01,782
2014-11-01,949
2014-12-01,1121
2015-01-01,1118
2015-02-01,918
2015-03-01,838
2015-04-01,864
2015-05-01,1186
2015-06-01,998
2015-07-01,1159
2015-08-01,1220
2015-09-01,1211
2015-10-01,1092
2015-11-01,1406
2015-12-01,915
2016-01-01,969
2016-02-01,870
2016-03-01,637
2016-04-01,887
2016-05-01,884
2016-06-01,1009
2016-07-01,1447
2016-08-01,653
2016-09-01,799
2016-10-01,734
2016-11-01,783
2016-12-01,767
2017-01-01,714
2017-02-01,954
2017-03-01,1280
2017-04-01,793
2017-05-01,659
2017-06-01,754
2017-07-01,753
2017-08-01,739
2017-09-01,927
2017-10-01,1579
2017-11-01,2022
2017-12-01,1013
2018-01-01,1092
2018-02-01,1494
2018-03-01,997
2018-04-01,729
2018-05-01,1611
2018-06-01,665
2018-07-01,676
2018-08-01,1058
2018-09-01,1051
2018-10-01,1884
2018-11-01,1385
2018-12-01,1850
2019-01-01,1712
2019-02-01,837
2019-03-01,602
2019-04-01,626
2019-05-01,1025
2019-06-01,576
2019-07-01,621
2019-08-01,974
2019-09-01,1699
2019-10-01,1184
2019-11-01,1503
2019-12-01,1247
2020-01-01,1513
2020-02-01,1525
2020-03-01,1456
2020-04-01,1115
2020-05-01,961
2020-06-01,1711
2020-07-01,2239
2020-08-01,1561
2020-09-01,1403
2020-10-01,1499
2020-11-01,1621
2020-12-01,1568
2021-01-01,1199
2021-02-01,1140
2021-03-01,1667
2021-04-01,1207
2021-05-01,1158
2021-06-01,1136
2021-07-01,1706
2021-08-01,1286
2021-09-01,1119
2021-10-01,1295
2021-11-01,1009
2021-12-01,1368
2022-01-01,1569
2022-02-01,1121
2022-03-01,1381
2022-04-01,1294
2022-05-01,1513
2022-06-01,1609
2022-07-01,1157
2022-08-01,1305
2022-09-01,1484
2022-10-01,1184
2022-11-01,968
2022-12-01,1040
2023-01-01,1209
2023-02-01,751
2023-03-01,1308
2023-04-01,1128
2023-05-01,932
2023-06-01,1053
2023-07-01,1243
2023-08-01,984
2023-09-01,770
2023-10-01,1195
2023-11-01,1179
2023-12-01,1148
2024-01-01,1509
2024-02-01,1280
2024-03-01,1569
2024-04-01,1728
2024-05-01,2108
2024-06-01,1940
2024-07-01,1141
2024-08-01,938
2024-09-01,949
2024-10-01,957
2024-11-01,1035
2024-12-01,1084
2025-01-01,1327
2025-02-01,1315
2025-03-01,1391
2025-04-01,1067
2025-05-01,1264
2025-06-01,1109
2025-07-01,1127
2025-08-01,1045
2025-09-01,1065
2025-10-01,1230
2025-11-01,1253
2025-12-01,1411
2026-01-01,1013
2026-02-01,774
2026-03-01,766
